trust_name,ods_code,press_email,press_email_alt,press_source_url,foi_email,foi_email_alt,foi_source_url,notes
West Midlands Ambulance Service University NHS Foundation Trust,RYA,pressoffice@wmas.nhs.uk,,https://www.wmas.nhs.uk/contact/,foi@wmas.nhs.uk,,https://www.wmas.nhs.uk/foi/,Cloudflare email-protection decoded
West Suffolk NHS Foundation Trust,RGR,media@wsh.nhs.uk,,http://www.wsh.nhs.uk/contact-us/,foi@wsh.nhs.uk,,http://www.wsh.nhs.uk/contact-us/,
Whittington Health NHS Trust,RKE,communications.whitthealth@nhs.net,,https://www.whittington.nhs.uk/default.asp?c=23363,foi.whitthealth@nhs.net,,Temp/Comms contacts.xlsx (May 2026),FOI email not located; Whittington FOI sub-pages (default.asp ?c= numeric IDs) all 404 in tests.
Wirral Community Health and Care NHS Foundation Trust,RY7,wcnt.communications@nhs.net,,Temp/Comms contacts.xlsx (May 2026),wcnt.foi@nhs.net,,Temp/Comms contacts.xlsx (May 2026),no listed emails on either page; phone-only contact; Wirral Community: contact page lists media phone numbers but no email; FOI page lists no email; sub-paths 404.
Wirral University Teaching Hospital NHS Foundation Trust,RBL,wih-tr.communications@nhs.net,,https://www.wuth.nhs.uk/contact-us,wih-tr.accesstoinformationoffice@nhs.net,,https://www.wuth.nhs.uk/contact-us,FOI inbox combined with Access to Information Office (handles both FOI and SARs)
Worcestershire Acute Hospitals NHS Trust,RWP,wah-tr.communications@nhs.net,,https://www.worcsacute.nhs.uk/contact-us/press-office/,wah-tr.foi@nhs.net,,https://www.worcsacute.nhs.uk/our-trust/freedom-of-information/freedom-of-information-publication-scheme/,
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",RRF,PRenquiries@wwl.nhs.uk,,https://www.wwl.nhs.uk/contact-us/,FOI@wwl.nhs.uk,,https://www.wwl.nhs.uk/freedom-of-information,
Wye Valley NHS Trust,RLQ,WVTcommsteam@wvt.nhs.uk,,https://www.wyevalley.nhs.uk/news-events/press-office.aspx,Freedom.Information@wvt.nhs.uk,,https://www.wyevalley.nhs.uk/about-us/information-requests/freedom-of-information-requests.aspx,in progress
York and Scarborough Teaching Hospitals NHS Foundation Trust,RCB,yhs-tr.communications.team@nhs.net,,https://www.yorkhospitals.nhs.uk/news-amp-media/media-enquiries/,yhs-tr.foirequests@nhs.net,,https://www.yorkhospitals.nhs.uk/about-us/information-governance/freedom-of-information/,
Yorkshire Ambulance Service NHS Trust,RX8,yas.pressoffice@nhs.net,,https://www.yas.nhs.uk/contact-us/,yas.foi@nhs.net,,https://www.yas.nhs.uk/contact-us/,
North London NHS Foundation Trust,G6V2S,nlft.communications@nhs.net,,https://www.northlondonmentalhealth.nhs.uk/contact-us,nlft.freedom.information@nhs.net,nlft.information.request@nhs.net,https://www.northlondonmentalhealth.nhs.uk/freedom-of-information,"added 2026-05-16; new entity formed Nov 2024 from merger of Camden & Islington FT (TAF) and Barnet, Enfield and Haringey MH Trust (RRP); contacts to be populated by next rotation batch; press + FOI emails populated 2026-05-16 from northlondonmentalhealth.nhs.uk"
The Online NHS Trust,K0N6A,,,,,,,"Shadow / pre-legal trust as of 2026-05-16. ODS operational date 2026-04-07; legal establishment date 2026-06-01. No public website, press office or FOI process yet. Registered address is DHSC HQ (Wellington House, 133-155 Waterloo Road, London SE1 8UG). Until the trust is operational with patients (expected 2027), route press enquiries via NHS England press office (nhsengland.media@nhs.net) and FOI requests via NHS England (england.contactus@nhs.net) or DHSC."
